block_number,reserveA,reserveB,total_reserveA,total_reserveB
18172530,837062873683275277280,3695675162863189387149,876385947783370134000,3869288535105687113189
18172556,865353550617113298839,3667704763306790541304,906005648402748044333,3840004157676245362079
18172556,865353550617113298839,3667704763306790541304,906005648402748044333,3840004157676245362079
18172591,871084333104900415098,3662038879794527742028,912005648402748044331,3834072105439744629419
18172643,871054064460310896565,3661018805182301405558,911889721514188814080,3832650067231287852887
18172811,870340863068899681817,3655043485654001539565,910453071681417038927,3823496873292735810058
18173309,865942406436339826643,3654124828252934750690,905124935019340271180,3819468215370445082743
18173369,855353350775375838550,3658397688671325334526,894110017925806752194,3824162283379711610116
18173370,856497067999581864153,3657266921481681172614,895305557788846875633,3822980280326486695380
18173569,856360877750616050197,3654924661791777334398,895184546850373768856,3820623013200201162425
18173570,851524882895772745657,3659707814499024374670,890129309070158010550,3825623013200201162424
18173571,850858243429788968883,3660367170099885919170,889432447076839524828,3826312261109705016470
18173681,850781393584544562993,3659024338910005559575,889364273739364561231,3824960851645583135874
18173821,840785048642516951488,3555486905023267232574,879900444415761164272,3720896931856063037805
18173857,840779122605198120861,3555492766296326814155,879894242684559019086,3720903065810012736006
18174724,774853590895099805996,3512158568510984707431,811795072324614262362,3679602253435100253609
18174735,775244933467994798294,3511771653621848653022,812205072324614262337,3679196892210605140093
18174747,789438260441040007600,3497738934821649260857,827075072324614262336,3664495157447836189242
18174906,788926681956143816113,3498244925987680090884,826327646161919273284,3664087628804485144616
18174913,788955324106226310869,3498216607988265059009,826357646161919273282,3664057968322293545103
18174960,785409577105929831118,3488536234950291718156,822870487985506516024,3654925528902103665292
18175019,789312407829646469680,3479956934478065379172,827001182802750656805,3646120943200887716763
18175064,789254787620260611250,3478747575807931215144,826747654734131720449,3644002475275480371840
18175073,784483445692845603836,3483466805117168583887,821749654328814031401,3648945887497696475019
18175086,784546157904690672428,3482790372304168908529,821636466246306878308,3647443232427749911539
18175099,784722149059554917572,3482616372860421821537,821636465302732491501,3646443024491840158284
18175110,783840961275172785105,3483487936808455603388,820713825337369752700,3647355587903496101369
18175119,783587600469007257380,3481406690042733937660,820284626677677339994,3644448157864672338371
18175129,783763533899612279149,3481232747648600742227,820284626677656865854,3643448031544580073107
18175467,754175254397647074434,3338623909177632132027,790758680478436626383,3500573403384396192059
18175611,745791048594217510096,3343269242143145467325,781815786317448918498,3504762729914791657214
18175642,744476778033904583836,3336646576420338672692,780149657840553920917,3496527711453525752944
18175681,749335730361120775692,3331842609304151890761,785241435189945792317,3491493554025717159221
18175688,749316524492349215007,3331861605420679586389,785221309039080168836,3491513460373700932220
18175722,743209509867854309971,3336192612374844278195,778836617993935301237,3496119111366554950932
18175724,740326248782315111477,3339044389639563983557,775815142511128108800,3499107593793967923546
18175811,740197958567336222052,3337573732834141352113,775694631690493854426,3497629245616365574442
18175864,744463406257215523918,3333356550030287388617,780164631690493854425,3493209825076300146364
18175913,751071662358987645705,3326823077059714475204,787044395761422908102,3486161959919786703304
18176188,751838892882372065140,3310539838506738249008,786494284829494850552,3463136434328185339351
18176235,751584560783094295564,3308904189648114993307,785734366310113497334,3459251123952202299472
18176255,761260681902019718984,3299337597194932489699,795850142088952231895,3449249853501520701168
18176262,766043370511610578073,3294609054477145188909,800850142088952231894,3444306459624376972878
18176728,764723523964907805632,3290773457743102623751,798260975734020530832,3435092486337808295146
18176771,764246173609711556511,3290561147354348625700,797768360076714021123,3434895274461170086297
18176834,810890387645503065719,3243932035814434427746,846464091592279092900,3386243104762478212988
18176834,810890387645503065719,3243932035814434427746,846464091592279092900,3386243104762478212988
18176834,810890387645503065719,3243932035814434427746,846464091592279092900,3386243104762478212988
18176914,811656766652669351081,3243174342194362475041,847264091592279092943,3385452171176890003471
18176933,811824508082901027657,3243008501799710450141,847439191827189656799,3385279055375855498746
18176958,813740455600816740957,3241114268447906113491,849439191827189656798,3383301722140898205832
18176973,805815232458702213018,3248952812861544608404,841166289706430025689,3391484142943494876473
18177019,807206047495498263869,3247346099369246405522,842620147563000667635,3389815101024635335200
18177021,806827851950042024073,3247720158811330446254,842225359655614748880,3390205571367695972264
18177091,793834101468000480775,3247269954950925979571,828776427852964106523,3390205571367695972261
18177121,794028344270457717719,3244658208641800302629,828803150352226625653,3386759382764000062001
18177156,791655661529891479485,3247004949095303139674,826326554970767750762,3389208899704996910831
18177157,802194125076106412957,3236585889640998961740,837326554970767750761,3378333533149450970436
18177161,802091360985689725057,3236687529904058117540,837219290283688240875,3378439624790680044830
18177547,831952028126287771709,3205574700368783578132,868417946463270987460,3346080668615552870693
18177834,830756078656204841058,3204557606769050036734,867189473012029956546,3345095743080048103930
18177847,830021262871763622956,3205284381437884136601,866422431362571010445,3345854390965097832378
18177858,829864762219058885658,3205356997975115453453,866259810053027372258,3345933061181249660996
18177859,830410738583559247764,3204817212197709594961,866829731085149326422,3345369602234330917140
18177895,830253454764616474950,3204889256238326176623,866666304683856923289,3345447721638843496238
18177899,833127410231481464639,3202047888390174618578,869666304683856923287,3342481738469398959940
18177931,832967896974010058582,3202119443205167694511,869500577871688844580,3342559438839858148694
18177953,832805873952994545607,3202190786173274365036,869332255396856574955,3342637012322715754960
18178082,834664361758363341302,3200353372595105671117,871272255396856574900,3340719010853268439743
18178149,835730230243117430007,3199299590849793467343,872384872253663232139,3339619010853268439742
18178901,832957984698747993149,3188851910861583071006,869397676129181314009,3328355681500350091117
18178922,832925022641228617525,3188884512171200294558,869363272069511790741,3328389709030358381927
18178962,828952401886124274784,3192813657160492685654,865216859746110648100,3332490743639085815787
18178989,823824506601650476971,3197885439214290157758,859864632712273309847,3337784402637984702733
18179333,823780302785972588570,3197929159346915368611,859818495097492778153,3337830035409868346879
18179803,813482428368920306356,3156972956346147194940,849323455533206985408,3296065270499989872852
18180075,814440228866562531943,3156026015253448434880,850323455533206985406,3295076608356850667595
18180082,823982048705976631715,3146592391559321131867,860285676123927880381,3285227350899426464721
18180172,823184305324344003222,3147350469222266602256,859453068370757435246,3286019911355597748907
18180191,824161261510005809613,3146384591968417801639,860473068370757435245,3285011478415221421523
18180193,824058271135442870114,3146486455136005211615,860365540332554743948,3285117829582719045065
18180244,824259409173667359665,3146287598078454604005,860575540332554743947,3284910211061358011357
18180380,825236365359329166056,3145321721083752263292,861595540332554743946,3283901778391545904745
18180384,826194165541350544870,3144374783082261746141,862595540332554743944,3282913119150020117701
18180425,829067566087414681314,3141533970435757414463,865595540332554743942,3279947142843240795519
18180832,869173977765632567696,3101286647363706065223,907389127194464200762,3237641549468933898978
18181031,868326283065176705494,3103274539079437287767,906493085530098075997,3239677258468934930818
18181291,869883107253501890845,3092014082145168198954,908212391253382157441,3228256164440983651304
18181313,869788746839491758598,3092107408693233942509,908113873077166066365,3228353603196466359801
18181336,874577731859025659779,3087372791691741029477,913113873077166066364,3223410366809026458850
18181357,874587309829064727581,3087363322463421876230,913123873077166066362,3223400480342185855889
18181527,877172331498906697249,3083288401218732851706,915837661296875411439,3219198254521626935079
