sender,recipient,tokenAIn,exactOutput,amountIn,amountOut,activeTick,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,88616546937645484,90542508561939351,21,Swap,112,67,0x5569a48f51818c76767a46fc2ce2b896174c7461e18d7f642864609de09a7901,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x4b3835ab43c212a9a0892576255d6588248a6edaa88dfedabe636cab8a16a600,18148473
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,19333580955255527,19753726305962843,21,Swap,287,95,0xf7dae805ae745b61b4bde8632c799f904f6dee5d090c4ddfb3957ccc00357abd,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xcd77946487e6ca063f3149e1de4f5eba96c4f1185f306a002a1eefae5e19beb9,18148631
0xa06CF5995bF01eCE7789976C7aCcC24701a7Cd02,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,False,False,2002670283239266569,2046105596265249229,21,Swap,42,3,0x9202cdaf0b77944e230d5847898af876f61b6947bb7533b72d39b01298c7e1e7,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x19d1a38378547ccb7c2a1a4666b7cd3671ffdd87e91551243339f4686488ff9d,18149033
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,276886187911229622,282878164561886929,21,Swap,249,90,0x8b985f62926a038c347a9b8961ed8bca2ccbce85a6ac2c6fd30a38388e861a48,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xd521630490d39d7d4b52aa2dbd0475ee122e9733495bde6e47cafba7c06e6b27,18149338
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,500000000000000000,510812089506586732,21,Swap,193,81,0x46456f635785c7716dc629bb2e7bbb5e04d7ee82513cf878d4c04692caa37568,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x54c3e4f79d6029a768cd713b968a2b31e83f6e940b60d9c7ec122da3060f0532,18149362
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,999810077147946167,1021398501339152212,21,Swap,323,86,0xbdf55a1417f70907ebca0a8f7db3d3f55403ac4623d4e686fae5296d9acb8c04,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x4ffc04cdaae43ca990d5bdbb8d2b29259112cb8a69e18b59467835c1f2f7f898,18150333
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x1111111254EEB25477B68fb85Ed929f73A960582,True,False,1000000000000000000,978472783073690711,21,Swap,157,48,0x39a8393eb22e7deb1b90d411034ec261ebbfaf40b208d5cdc61395daf205d23c,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xfc4b866c87dc587ba36f9cac05e689f4b8387b23227b05c772ced4549a4b9b3f,18150445
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,9800000000000000711,10009778395514078982,21,Swap,223,105,0xddcd93cd9a0587b0fd6aaa824493b17d785ce70869eddf82ba995f780169e353,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xf9dd86d1581ee4c5e3976e1b0a75b9351feeb87ea157971f78091f3d753a1ea2,18150761
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x1111111254fb6c44bAC0beD2854e76F90643097d,True,False,6300000000000000000,6165964604659584278,21,Swap,179,9,0xd837efb97935814103dc6d245c7442c2a760c8449cb6722a3df40f25cc410675,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x3c8be4247710aec2ccd3c6aa63d24d4dfe57cca0bc7ae841195c96d4a985b85e,18151093
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,193595829377990252,197749491431663502,21,Swap,147,74,0xd08bd5dbca4072acce9b42db5f64d149a089ce5af216f24cf38d0f1adad59d82,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x9221e15821ba3dc8cfe05fe7713c2f6e8d179b9ff6d1aa835329d3cd52d13b6e,18152233
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,673735956471416377,688178854889001116,21,Swap,316,113,0xbdf0497528ab4152b73b528e4957af40f9f3cc109e42373ce38bcc9c104924a8,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xb83ccdef4f1781c1d995209f05bd7d9c976b571eb4afe2c8abe44d3abba3e1a3,18152315
0xd1B47490209CcB7A806E8a45d9479490C040ABf4,0xd1B47490209CcB7A806E8a45d9479490C040ABf4,True,False,470000000000000000,459954044272565531,21,Swap,53,28,0xaa8c1b51313e383b65bedb4bec303b9551f43ffff4be1dc7f03eb63a22b4d882,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x552c5499ca226dfb28aacfb023edcaa6439c25713654fe3133573dea1d8a41e9,18152332
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,146242226568889621,149377534193125298,21,Swap,380,143,0x25e91fd1542118c3743a0a70b3037927d1842791708d54031651d1ce803f73c7,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xd24e13145a67df3c73dd30f76ed8438dc7b0f2f9b302671db3254eeda2c809fc,18152512
0xa06CF5995bF01eCE7789976C7aCcC24701a7Cd02,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,False,False,857999762012701723,876376350117887294,21,Swap,62,52,0xda7f70952dc02bcd4b9c5d87306c4caf1a9063bd3822580bf41b97f4aca6930c,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xe866889f991be1105fa5f2c4c54059fabf0e65be1655a21d80bed47e94f2dfbc,18153110
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f,False,False,4344255640645917042,4436823620818645470,21,Swap,116,16,0x5c697ae088beb37c16a5d0f7de0f18698dac5cf02089fae466f7a589262147cd,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x8fd6b8cc220f4a1a50be3b073cc0269ecca0020da6675289f75a94c10eda3346,18153467
