block_number,reserveA,reserveB,total_supply,price
18680706,105865036940973790742,750408395017620583645,608369266289738133990,1.0244130544417838
18687851,123033512731902855039,727278723957983305597,603826902599990575751,1.024434242198861
18695002,120986826564870210315,728197726269718997221,603057564408954467487,1.0244320094312813
18702159,95231177108264247317,752232050142491912484,602264860786723154719,1.02440173109234
18709289,67192183319587814575,776559761600673581447,600090675598324004171,1.0243688523529118
18716439,157666205587928462917,685517226876334837062,598118382372455974969,1.024476866285459
18723579,141874841271045119442,699346663390846698479,596987009409300502432,1.0244583779169603
18730702,106831918052256366072,733678367728002382150,597067511239328548319,1.0244165434319858
18737829,212558644702907550,836808134514487472184,596364456529801870017,1.0242893426969921
18744963,0,807396534148248650034,575239383236084779426,1.0197011375768184
18752098,0,792464057459513523534,564598599452908618989,1.019755474415074
18759247,506845281040982143175,280934828286694916353,553927311761127771186,1.020852047562777
18766393,761444814815292610975,0,531382339549142950313,1.0220388614318217
18773539,759470047870452517289,0,530004227493224636930,1.0249566226953872
18780676,754859855164157098960,0,526786955619572298608,1.0262153404161447
