id,blockNumber,ETH_per_lp,stETH_per_lp,all_ETH_per_lp
1,18145020,0.537827725581183,0.5423406133229256,1.075655451162366
2,18152100,0.5379666571088697,0.542255269240855,1.0759333142177394
3,18159143,0.5391862252201874,0.5410855887372698,1.0783724504403749
4,18166255,0.5394179247573289,0.5409067307402247,1.0788358495146577
5,18173392,0.5386260983502167,0.5417550398753282,1.0772521967004334
6,18180542,0.5386674161322059,0.5417707380015874,1.077334832264412
7,18187682,0.5383930795240798,0.5421021291285343,1.0767861590481596
8,18194809,0.5389787488960829,0.5415711237411029,1.0779574977921658
9,18201951,0.5381367339200259,0.5424650124227731,1.0762734678400518
10,18209091,0.5384402331858517,0.5422153612105469,1.0768804663717033
11,18216239,0.5386949573494719,0.5420119119608203,1.0773899146989439
12,18223385,0.5392152480616912,0.5415504749817799,1.0784304961233824
13,18230531,0.5393087506242972,0.541511833879191,1.0786175012485941
14,18237666,0.5369967283330459,0.5438791379859973,1.0739934566660918
15,18244805,0.5392041815259128,0.541725329665956,1.0784083630518255
16,18251965,0.5375032687795772,0.5434811063547367,1.0750065375591542
17,18259124,0.5396443698974794,0.5413907142360291,1.0792887397949587
18,18266293,0.538857278619959,0.542234064236077,1.077714557239918
19,18273437,0.5395863471178357,0.5415643826458147,1.0791726942356714
20,18280593,0.5390741735936073,0.5421330712974277,1.0781483471872146
21,18287744,0.5385149375752605,0.5427448974976904,1.077029875150521
22,18294894,0.5398289722152597,0.5414817940815665,1.0796579444305194
23,18302049,0.5383176411545035,0.5430439205801548,1.076635282309007
24,18309198,0.5383423629959551,0.5430743849861709,1.0766847259919101
25,18316340,0.5389492680257799,0.5425191879037091,1.0778985360515598
26,18323490,0.5401923531022008,0.5413275158286538,1.0803847062044016
27,18330625,0.5381013325258168,0.5434687434921924,1.0762026650516336
28,18337769,0.5373460701699218,0.5442760605600049,1.0746921403398435
29,18344907,0.5391400429786292,0.5425340140305219,1.0782800859572583
30,18352059,0.5375430583608878,0.5441829242276436,1.0750861167217756
31,18359213,0.5382240751696656,0.5435529842839384,1.0764481503393313
32,18366379,0.5394171128149745,0.5424153273643304,1.078834225629949
33,18373529,0.5387114097034018,0.5431825558840403,1.0774228194068036
34,18380672,0.5371138968960032,0.5448496476324138,1.0742277937920064
35,18387819,0.5384530971840467,0.5435627170659739,1.0769061943680933
36,18394975,0.5370678798563905,0.5450095675075043,1.074135759712781
37,18402122,0.5373788754072053,0.5447547513664901,1.0747577508144106
38,18409266,0.5383205740835401,0.543865008306581,1.07664114816708
39,18416407,0.5394995212843967,0.54274142296455,1.0789990425687934
40,18423550,0.5372409973116359,0.5450697628157901,1.0744819946232718
41,18430677,0.5382766409183098,0.5440895369888937,1.0765532818366197
42,18437826,0.5367802576266513,0.5456481378464602,1.0735605152533025
43,18444983,0.5390173688907567,0.5434698202352234,1.0780347377815134
44,18452128,0.5378582388468646,0.544695325717859,1.0757164776937291
45,18459269,0.5393929249373736,0.5432118555741448,1.078785849874747
46,18466408,0.5391571902969664,0.5435004112675763,1.0783143805939328
47,18473543,0.537919407601014,0.5447997607146311,1.075838815202028
48,18480694,0.5369130941911238,0.5458660505104864,1.0738261883822475
49,18487825,0.5396975808060639,0.5431454391436852,1.0793951616121278
50,18494964,0.5413059927959818,0.5415943579932218,1.0826119855919636
51,18502099,0.5401947970215248,0.5427603822440256,1.0803895940430497
52,18509233,0.5393596138323336,0.5436477624967769,1.078719227664667
53,18516373,0.5405320406534474,0.5425317253783742,1.0810640813068946
54,18523523,0.5370400108524263,0.5460820296255261,1.0740800217048525
55,18530676,0.5404882833301626,0.5426910822353086,1.0809765666603253
56,18537827,0.5391084574208004,0.5441338524200704,1.0782169148416005
57,18544980,0.5368672306256824,0.5464497889139441,1.0737344612513646
58,18552123,0.5388775348524304,0.5444994638669762,1.0777550697048608
59,18559267,0.5390673346704274,0.5443664162762936,1.078134669340855
60,18566419,0.5379601370810806,0.5455368198131013,1.0759202741621612
61,18573579,0.537653656040513,0.5459114419591625,1.075307312081026
62,18580727,0.5402711349278703,0.5433580805227907,1.0805422698557408
63,18587882,0.5402871388595429,0.5434021345812348,1.0805742777190859
64,18595031,0.5391720630322983,0.5445720534335834,1.0783441260645965
65,18602145,0.5407071664170509,0.5430924367795873,1.0814143328341017
66,18609284,0.5396843847684295,0.5441678624950498,1.079368769536859
67,18616431,0.5403530442629635,0.5435533528978607,1.080706088525927
68,18623574,0.5387056495996009,0.5452569072096879,1.0774112991992018
69,18630716,0.5389769681886089,0.5450485277887573,1.0779539363772177
70,18637861,0.5386157864314844,0.5454707671071676,1.077231572862969
71,18644995,0.5389483029412848,0.5451935307082496,1.0778966058825696
72,18652140,0.5385880275690246,0.5456092071732062,1.077176055138049
73,18659275,0.5399076612308981,0.5443393816237884,1.0798153224617961
74,18666411,0.5396768687610874,0.5446260869235033,1.079353737522175
75,18673556,0.5403762762607915,0.5439834503455021,1.080752552521583
76,18680706,0.5403949467494567,0.5440251731374569,1.0807898934989133
77,18687851,0.5382487713678745,0.5462313176896764,1.076497542735749
78,18695002,0.5401573759202986,0.5443846081064604,1.080314751840597
79,18702159,0.5409436749147054,0.5436551020119962,1.0818873498294108
80,18709289,0.5411048604587864,0.5435481797339891,1.0822097209175727
81,18716439,0.5386302735695999,0.5460804641551481,1.0772605471391998
82,18723579,0.5391326723899368,0.545647734272945,1.0782653447798736
83,18730702,0.5383547526903948,0.5464937669735418,1.0767095053807896
84,18737829,0.5393158852860132,0.5455949488430085,1.0786317705720263
