blockNumber,fee_in_ETH,fee_in_stETH
18158964,0.0005492475183673697,0
18159310,0,0.0008000881558175467
18159454,0.001071241450280181,0
18159573,0.008676244177382057,0
18159574,0,0.0075011671400450185
18159980,0,3.222767106323774e-05
18159980,0,2.0061204531055713e-05
18159980,5.148748561757746e-08,0
18160141,0.00010155591629133538,0
18160516,1.4698152957834394e-05,0
18160997,0,0.005000618591628551
18161201,0,0.0007379575568489008
18161285,0,0.029999270835501548
18161346,0.010001054608720295,0
18161437,0.00010000644715828079,0
18161585,0.00010048875620612099,0
18161645,0.0002000124877524972,0
18161669,0.0011000628792863546,0
18161684,0.0017312130673282455,0
18161717,0.001100037603254991,0
18161904,0.002800051403586044,0
18162025,0.0013000022375054552,0
18162033,2.0252726645453856e-05,0
18162068,0.0020007502942729974,0
18162139,0.008688117628155145,0
18162140,0.00036326359724405516,0
18162144,0.0006122232537586316,0
18162147,0.00032696739575387976,0
18162153,3.889475356811577e-05,0
18162153,0,1.485064033432636e-05
18162153,1.4847651210327493e-05,0
18162370,0.00043901265269620694,0
18162453,0,8.68040109581398e-05
18162543,0,0.012404448101506503
18162543,0.012410161685248642,0
18162569,0,0.006055867901199566
18162796,2.6630681882481307e-05,0
18162826,0.00043477351522180875,0
18162832,0.0021594514632634313,0
18162888,0.0004540309185139574,0
18162897,0,0.00048253058148610466
18162975,0.00016954031953245465,0
18163176,0.0024821151813988066,0
18163186,0.0005065433707247562,0
18163204,0,0.0005268855528094244
18163273,0,0.005000627526466268
18163402,0.0006083145752958959,0
18163431,0,0.005035457714918976
18163514,0.0009799270543357332,0
18163551,5.428654122175928e-06,0
18163710,0.0002995530616679283,0
18163773,9.989920306353914e-05,0
18163993,0.0019998203585251443,0
18164119,0.0010524091397664612,0
18164299,0,0.013668555039199658
18164299,0.013676450825783403,0
18165105,9.998930380342298e-05,0
18165123,0.03043341106013665,0
18165123,0,0.005680064198088587
18165129,0,0.03053563180882246
18165165,0.0002999814923367778,0
18165996,0.0032013550123638915,0
18166337,0,0.0016246997298386319
18166337,0,0.0010114657289095753
18166337,2.5699893751119477e-06,0
18166362,0.0032639339066540497,0
18166637,0.002410023824931067,0
18166650,0,0.00036404081529592197
18166682,0.0015998125839194752,0
18166750,0.00029366382922349775,0
18167027,0,0.010383824281844504
18167027,0.010392768960770427,0
18167519,0,8.141218453083341e-06
18167519,0,5.0678044659670495e-06
18167519,1.3017603556988701e-08,0
18167529,1.100075374532289e-05,0
18167891,0,0.009036234629037033
18168084,4.999981104596434e-05,0
18168159,0.0029998186304947033,0
18168234,0.010568778566110531,0
18168235,3.8937560474836874e-05,0
18168235,0,1.486681873456098e-05
18168235,1.4862972511405424e-05,0
18168371,1.2157068694729252e-05,0
18168388,4.478288264238249e-06,0
18168399,5.545118486804736e-06,0
18168411,2.1326609021895814e-06,0
18168802,0,0.0003682805964786434
18168809,0,0.0004972706387892696
18169153,0.0001419683435183505,0
18169211,0,0.0005037528383340138
18169215,3.5098145149475505e-06,0
18169218,0.01014888383070308,0
18169287,5.9986097900064755e-05,0
18169287,0,0.0004501035768878561
18169334,0,0.0007501688342790801
18169468,0,0.006049614897859412
18169490,0,0.025605764882691374
18169516,0.0011000336390847387,0
18169598,0.0009569933712198888,0
18169602,0.003189924184915793,0
18169634,0.000999988373003527,0
18169651,0.0010020338851271856,0
18169679,0.0007999780002208815,0
18169739,0.010016917085259449,0
18169772,0.011570523148399934,0
18169927,2.8490999840414184e-05,0
18170209,0.0010001027461197967,0
18171114,0.0009997304497855336,0
18171119,0.000999722325455427,0
18171162,0.000999714201174907,0
18171177,0.000999706076942526,0
18171312,0,0.0007502212683903799
18171324,0,0.0006076758745199603
18171332,0.0005623092433712859,0
18171332,0,0.00021470062129422545
18171332,0.00021461675459660286,0
18171361,0.0010070995662918821,0
18171413,0.0009996962308388747,0
18171441,0.0023992378072986193,0
18171609,9.996722648664658e-05,0
18171780,0,0.004277005360393736
18171932,0,0.004996217265056991
18171951,0,0.005481236587186221
18172345,0,0.0005351102844291377
18172431,0,1.1678105206171587e-05
18172822,0,0.002450482227440738
18173799,0,0.021502362176191343
18173838,3.952698039025629e-06,0
18173850,0.0017398670610750846,0
18173906,3.6115866192176008e-06,0
18173909,0.00999922678986819,0
18173978,3.750304240638464e-06,0
18174015,3.610292774309717e-06,0
18174060,3.650295910621755e-06,0
18174112,3.6102925612215686e-06,0
18174138,0.0002043454808536445,0
18174204,3.690292804910582e-06,0
18174216,0.0008968892990384703,0
18174263,0,1.6114577182078782e-05
18174263,0,1.0031272824641323e-05
18174263,2.578039316678848e-08,0
18174334,3.961286145074447e-06,0
18174375,3.7802729505717934e-06,0
18174377,0.0006043580537391148,0
18174412,3.542238256438888e-06,0
18174434,4.999339738344833e-05,0
18174451,3.6502439309705372e-06,0
18174493,3.912261320278039e-06,0
18174543,3.5722384997341458e-06,0
