id,date,block_number,sum_volume_ETH
1,2023/09/16,18152100,2507.5805343406655
2,2023/09/17,18159143,1465.4764669771555
3,2023/09/18,18166255,2357.713112904839
4,2023/09/19,18173392,1579.5893308386305
5,2023/09/20,18180542,1040.9814454775349
6,2023/09/21,18187682,2313.7338805043764
7,2023/09/22,18194809,1818.7642380189263
8,2023/09/23,18201951,3559.539390701083
9,2023/09/24,18209091,7762.09481256112
10,2023/09/25,18216239,3451.7477986951953
11,2023/09/26,18223385,5301.691391921122
12,2023/09/27,18230531,898.4137589037581
13,2023/09/28,18237666,3673.159794154198
14,2023/09/29,18244805,3189.692775324023
15,2023/09/30,18251965,4486.911992216871
16,2023/10/01,18259124,1358.094097291794
17,2023/10/02,18266293,2173.0843405805795
18,2023/10/03,18273437,477.9167870784735
19,2023/10/04,18280593,3284.7212614012674
20,2023/10/05,18287744,2014.0988083889843
21,2023/10/06,18294894,2382.7531682312188
22,2023/10/07,18302049,691.1576129651814
23,2023/10/08,18309198,13622.07037026716
24,2023/10/09,18316340,7703.237525333658
25,2023/10/10,18323490,5136.81939175286
26,2023/10/11,18330625,1289.4822995563798
27,2023/10/12,18337769,3732.1197247494406
28,2023/10/13,18344907,1839.0772050555806
29,2023/10/14,18352059,1042.1235584390038
30,2023/10/15,18359213,9869.779187250495
31,2023/10/16,18366379,12191.60883126197
32,2023/10/17,18373529,6461.222109356773
33,2023/10/18,18380672,5927.915033069533
34,2023/10/19,18387819,3281.0368568010617
35,2023/10/20,18394975,11516.566444650776
36,2023/10/21,18402122,1939.9716055694555
37,2023/10/22,18409266,3726.440391768271
38,2023/10/23,18416407,5868.719842964214
39,2023/10/24,18423550,14529.397003112623
40,2023/10/25,18430677,3331.893049893669
41,2023/10/26,18437826,4747.760578407746
42,2023/10/27,18444983,5320.977550461576
43,2023/10/28,18452128,1403.4371853459947
44,2023/10/29,18459269,2041.9852479643735
45,2023/10/30,18466408,2361.43267829383
46,2023/10/31,18473543,5808.969581800418
47,2023/11/01,18480694,4697.958650237755
48,2023/11/02,18487825,14689.379233555326
49,2023/11/03,18494964,6953.132042472016
50,2023/11/04,18502099,1110.2008623113738
51,2023/11/05,18509233,1642.6707349622156
52,2023/11/06,18516373,3553.624746633942
53,2023/11/07,18523523,4840.446758914908
54,2023/11/08,18530676,2321.7087973054618
55,2023/11/09,18537827,9941.770988709042
56,2023/11/10,18544980,10087.125327761165
57,2023/11/11,18552123,6377.42168557051
58,2023/11/12,18559267,3376.7229433708053
59,2023/11/13,18566419,9022.011605121503
60,2023/11/14,18573579,6293.758796905426
61,2023/11/15,18580727,7435.940554267438
62,2023/11/16,18587882,5224.728985618249
63,2023/11/17,18595031,2022.4471401989258
64,2023/11/18,18602145,1826.6624918985449
65,2023/11/19,18609284,3764.5555475014908
66,2023/11/20,18616431,3460.3910149659614
67,2023/11/21,18623574,4877.614657012801
68,2023/11/22,18630716,5077.006763025277
69,2023/11/23,18637861,4272.939233651424
70,2023/11/24,18644995,4162.2931801451705
71,2023/11/25,18652140,4455.776385835288
72,2023/11/26,18659275,1080.4195572694432
73,2023/11/27,18666411,6810.554964865134
74,2023/11/28,18673556,4553.565954725896
75,2023/11/29,18680706,1453.7529444665406
76,2023/11/30,18687851,3257.4307263125293
77,2023/12/01,18695002,9279.083552743241
78,2023/12/02,18702159,2040.4500159701245
79,2023/12/03,18709289,5099.3677094710965
80,2023/12/04,18716439,2218.5402248694118
81,2023/12/05,18723579,19318.557462961642
82,2023/12/06,18730702,12293.566698118202
83,2023/12/07,18737829,4718.158505682129
84,2023/12/08,18744963,5550.238573160271
85,2023/12/09,18752098,21381.28099919472
86,2023/12/10,18759247,5258.445526968835
87,2023/12/11,18766393,10959.010625925366
88,2023/12/12,18773539,18382.921610985082
89,2023/12/13,18780676,5558.587668927133
